Name chr start end width strand leno
17003 ENSG00000196233.12 chr10 96832260 96995959 163700 + 163700
16380 ENSG00000187122.16 chr10 96998038 97185920 187883 - 187883
22209 ENSG00000213390.10 chr10 97222173 97292673 70501 - 70501
33883 ENSG00000237169.1 chr10 97309138 97309958 821 - 821
11677 ENSG00000165879.8 chr10 97319267 97321915 2649 + 2649
14991 ENSG00000181274.6 chr10 97332497 97334563 2067 - 2067
26177 ENSG00000225850.3 chr10 97334710 97343203 8494 + 8494
700 ENSG00000052749.13 chr10 97356701 97426076 69376 - 69376
13005 ENSG00000171314.8 chr10 97426160 97433441 7282 + 7282
13004 ENSG00000171311.12 chr10 97436142 97446017 9876 - 9876
13002 ENSG00000171307.18 chr10 97446131 97457370 11240 + 11240
9827 ENSG00000155229.20 chr10 97458324 97498794 40471 - 40471
11678 ENSG00000165886.4 chr10 97498868 97571209 72342 + 72342
11679 ENSG00000165887.11 chr10 97572499 97583884 11386 + 11386
12970 ENSG00000171160.17 chr10 97614553 97633500 18948 - 18948
9829 ENSG00000155252.13 chr10 97640686 97676434 35749 + 35749
4985 ENSG00000119986.6 chr10 97677424 97687323 9900 - 9900
9830 ENSG00000155254.12 chr10 97713173 97718152 4980 + 4980
9831 ENSG00000155256.17 chr10 97737121 97760907 23787 + 23787
4993 ENSG00000120057.4 chr10 97766751 97771952 5202 - 5202
9832 ENSG00000155265.10 chr10 97850239 97871580 21342 + 21342
11715 ENSG00000166024.13 chr10 98134624 98244897 110274 + 110274
7598 ENSG00000138131.3 chr10 98247690 98268250 20561 - 20561
4976 ENSG00000119943.12 chr10 98383565 98415184 31620 - 31620
3415 ENSG00000107521.18 chr10 98416198 98446947 30750 - 30750
4990 ENSG00000120053.10 chr10 99396870 99430624 33755 - 33755
25559 ENSG00000224934.2 chr10 99431191 99438117 6927 + 6927
9835 ENSG00000155287.10 chr10 99610522 99620609 10088 - 10088
17582 ENSG00000198018.6 chr10 99659506 99706240 46735 + 46735
354 ENSG00000014919.12 chr10 99711844 99732100 20257 - 20257
4974 ENSG00000119929.12 chr10 99722918 99756134 33217 + 33217
435 ENSG00000023839.10 chr10 99782732 99852192 69461 + 69461
3418 ENSG00000107554.16 chr10 99875577 100009919 134343 - 134343
3421 ENSG00000107566.13 chr10 100150094 100188297 38204 - 38204
22187 ENSG00000213341.10 chr10 100188335 100229619 41285 - 41285
33290 ENSG00000236308.1 chr10 100190036 100190670 635 + 635
27325 ENSG00000227492.1 chr10 100229667 100234000 4334 + 4334
2028 ENSG00000095485.16 chr10 100232298 100267680 35383 - 35383
29154 ENSG00000230224.1 chr10 100248271 100249095 825 + 825
16944 ENSG00000196072.11 chr10 100273280 100286712 13433 - 13433
2075 ENSG00000099194.5 chr10 100347124 100364834 17711 + 17711
32970 ENSG00000235823.1 chr10 100373615 100383368 9754 + 9754
1323 ENSG00000075826.16 chr10 100486642 100519864 33223 - 33223
11739 ENSG00000166136.15 chr10 100523740 100530000 6261 - 6261
11738 ENSG00000166135.13 chr10 100529072 100559998 30927 + 30927
4966 ENSG00000119906.11 chr10 100912740 100965136 52397 + 52397
754 ENSG00000055950.16 chr10 100969458 100987366 17909 - 17909
2029 ENSG00000095539.15 chr10 100969905 100985871 15967 + 15967
3445 ENSG00000107815.7 chr10 100987516 100994401 6886 + 6886
3446 ENSG00000107816.17 chr10 100996618 101007682 11065 + 11065
16315 ENSG00000186862.17 chr10 101007837 101031157 23321 - 23321
3447 ENSG00000107819.13 chr10 101031234 101041244 10011 + 10011
11752 ENSG00000166167.17 chr10 101354033 101557321 203289 + 203289
11755 ENSG00000166171.12 chr10 101570560 101609668 39109 + 39109
11753 ENSG00000166169.16 chr10 101578882 101588270 9389 - 9389
3449 ENSG00000107829.13 chr10 101610664 101695295 84632 - 84632
3451 ENSG00000107833.10 chr10 101781325 101783413 2089 - 2089
17700 ENSG00000198408.13 chr10 101784443 101818465 34023 - 34023
4988 ENSG00000120049.18 chr10 101825974 101843920 17947 - 17947
4987 ENSG00000120029.12 chr10 101845599 102056193 210595 - 210595
11760 ENSG00000166189.7 chr10 102065390 102068038 2649 + 2649
17807 ENSG00000198728.10 chr10 102107560 102120453 12894 - 12894
9121 ENSG00000148840.10 chr10 102132994 102150331 17338 + 17338
11762 ENSG00000166197.16 chr10 102152176 102163871 11696 + 11696
4969 ENSG00000119915.4 chr10 102226328 102229589 3262 + 3262
3454 ENSG00000107862.4 chr10 102245532 102382899 137368 + 137368
1369 ENSG00000077150.18 chr10 102394110 102402529 8420 + 8420
806 ENSG00000059915.16 chr10 102402617 102421539 18923 - 18923
3457 ENSG00000107872.12 chr10 102419189 102423136 3948 + 3948
3458 ENSG00000107874.10 chr10 102423245 102432661 9417 - 9417
49463 ENSG00000269609.5 chr10 102449817 102461106 11290 + 11290
7595 ENSG00000138111.14 chr10 102461395 102477045 15651 + 15651
7593 ENSG00000138107.12 chr10 102461881 102502711 40831 - 40831
3459 ENSG00000107882.11 chr10 102503987 102633535 129549 + 129549
51254 ENSG00000272933.1 chr10 102642792 102644140 1349 - 1349
12982 ENSG00000171206.13 chr10 102644496 102658407 13912 + 13912
7609 ENSG00000138175.8 chr10 102673731 102714407 40677 - 40677
9955 ENSG00000156398.12 chr10 102714538 102743492 28955 + 28955
11783 ENSG00000166272.16 chr10 102743970 102816267 72298 + 72298
9112 ENSG00000148795.6 chr10 102830531 102837533 7003 - 7003
11784 ENSG00000166275.15 chr10 102854223 102864961 10739 + 10739
22701 ENSG00000214435.7 chr10 102869516 102901899 32384 + 32384
9123 ENSG00000148842.17 chr10 102918293 103090221 171929 + 171929
1352 ENSG00000076685.18 chr10 103090611 103193306 102696 - 102696
9951 ENSG00000156374.14 chr10 103302796 103351134 48339 - 48339
9120 ENSG00000148835.10 chr10 103367967 103389040 21074 + 21074
13578 ENSG00000173915.14 chr10 103389066 103396466 7401 - 7401
9124 ENSG00000148843.13 chr10 103396648 103446292 49645 + 49645
7608 ENSG00000138172.10 chr10 103446786 103452402 5617 - 5617
3468 ENSG00000107954.10 chr10 103493979 103592552 98574 + 98574
3469 ENSG00000107957.16 chr10 103594027 103855543 261517 - 261517
51341 ENSG00000273108.1 chr10 103608619 103610050 1432 + 1432
45493 ENSG00000260461.1 chr10 103877374 103879761 2388 - 2388
3471 ENSG00000107960.10 chr10 103882542 103918205 35664 - 35664
937 ENSG00000065613.13 chr10 103967201 104029233 62033 + 62033
939 ENSG00000065618.18 chr10 104031286 104086002 54717 - 54717
9953 ENSG00000156384.14 chr10 104122058 104126385 4328 + 4328
9119 ENSG00000148834.12 chr10 104235356 104267459 32104 + 32104
940 ENSG00000065621.14 chr10 104268873 104304945 36073 + 36073
9122 ENSG00000148841.15 chr10 104309698 104338404 28707 - 28707
27830 ENSG00000228261.1 chr10 104323369 104327004 3636 + 3636
29856 ENSG00000231233.1 chr10 104351591 104353575 1985 - 1985
4989 ENSG00000120051.14 chr10 104353764 104455090 101327 + 101327
3478 ENSG00000108039.17 chr10 109864766 109923553 58788 - 58788
19620 ENSG00000203876.9 chr10 109940104 110008381 68278 - 68278
9103 ENSG00000148700.14 chr10 109996368 110135565 139198 + 139198
4978 ENSG00000119950.20 chr10 110207605 110287365 79761 + 79761
4979 ENSG00000119953.12 chr10 110290730 110304951 14222 - 14222
7607 ENSG00000138166.5 chr10 110497838 110511544 13707 + 13707
3479 ENSG00000108055.9 chr10 110567691 110604636 36946 + 36946
30680 ENSG00000232470.1 chr10 110869743 110871594 1852 + 1852
19524 ENSG00000203497.2 chr10 110869868 110872233 2366 - 2366
9289 ENSG00000150593.17 chr10 110871795 110898729 26935 + 26935
22690 ENSG00000214413.7 chr10 110900007 110919274 19268 - 19268
53851 ENSG00000278601.1 chr10 110907483 110908182 700 + 700
49928 ENSG00000270589.1 chr10 110910596 110912244 1649 + 1649
3480 ENSG00000108061.11 chr10 110919547 111013667 94121 + 94121
9290 ENSG00000150594.6 chr10 111077163 111080907 3745 + 3745
4973 ENSG00000119927.13 chr10 112149864 112215377 65514 - 65514
17300 ENSG00000197142.10 chr10 112374018 112428380 54363 + 54363
31010 ENSG00000232934.7 chr10 112395813 112420007 24195 - 24195
422 ENSG00000023041.11 chr10 112424428 112446917 22490 - 22490
9396 ENSG00000151532.13 chr10 112446998 112818744 371747 + 371747
45800 ENSG00000260917.1 chr10 112823490 112827726 4237 + 4237
9110 ENSG00000148737.16 chr10 112950250 113167678 217429 + 217429
31427 ENSG00000233547.1 chr10 112950946 112951875 930 - 930
17538 ENSG00000197893.13 chr10 113589666 113664127 74462 - 74462
11662 ENSG00000165806.19 chr10 113679162 113730907 51746 + 51746
17919 ENSG00000198924.7 chr10 113834725 113854383 19659 - 19659
17213 ENSG00000196865.4 chr10 113854661 113917194 62534 + 62534
599 ENSG00000043591.5 chr10 114044056 114046908 2853 + 2853
11665 ENSG00000165813.18 chr10 114120862 114174220 53359 - 53359
12496 ENSG00000169129.14 chr10 114294824 114404756 109933 - 109933
2077 ENSG00000099204.18 chr10 114431113 114685003 253891 - 253891
9398 ENSG00000151553.14 chr10 114821744 114899832 78089 + 78089
11670 ENSG00000165832.5 chr10 114938193 114977676 39484 + 39484
13874 ENSG00000175535.6 chr10 116545931 116567855 21925 + 21925
16356 ENSG00000187021.14 chr10 116590385 116609175 18791 + 18791
16388 ENSG00000187164.19 chr10 116881482 117126586 245105 - 245105
26239 ENSG00000225936.1 chr10 117239600 117241923 2324 - 2324
11621 ENSG00000165646.11 chr10 117241093 117277273 36181 + 36181
53525 ENSG00000277879.1 chr10 117267116 117268668 1553 - 1553
11622 ENSG00000165650.11 chr10 117279431 117375467 96037 - 96037
3419 ENSG00000107560.10 chr10 118004916 118046278 41363 - 41363
11626 ENSG00000165669.13 chr10 118297930 118342320 44391 - 44391
9449 ENSG00000151893.14 chr10 118674167 118755249 81083 - 81083
53437 ENSG00000277687.1 chr10 118692361 118693535 1175 - 1175
3422 ENSG00000107581.12 chr10 119033733 119080823 47091 - 47091
4984 ENSG00000119979.16 chr10 119104092 119137984 33893 + 33893
15495 ENSG00000183605.16 chr10 119140913 119165667 24755 - 24755
11628 ENSG00000165672.6 chr10 119167703 119178833 11131 - 11131
17889 ENSG00000198873.11 chr10 119207589 119455619 248031 + 248031
33373 ENSG00000236426.5 chr10 119330233 119336182 5950 - 5950
9126 ENSG00000148908.14 chr10 119499828 119542708 42881 - 42881
9452 ENSG00000151923.17 chr10 119571802 119597029 25228 - 25228
9453 ENSG00000151929.9 chr10 119651370 119677819 26450 + 26450
17858 ENSG00000198825.12 chr10 119726097 119829278 103182 + 103182
17497 ENSG00000197771.12 chr10 119829404 119892556 63153 - 63153
3428 ENSG00000107651.12 chr10 119892711 119944658 51948 + 51948
23740 ENSG00000220842.6 chr10 120354701 120355183 483 - 483
27102 ENSG00000227165.7 chr10 120761812 120851174 89363 - 89363
4986 ENSG00000120008.15 chr10 120851346 120909524 58179 + 58179
975 ENSG00000066468.22 chr10 121478334 121598458 120125 - 120125
3429 ENSG00000107669.17 chr10 121740421 121928801 188381 - 188381
3430 ENSG00000107672.14 chr10 121957099 121975217 18119 - 18119
7606 ENSG00000138162.18 chr10 121989194 122254545 265352 + 265352
3431 ENSG00000107679.14 chr10 122374696 122442602 67907 + 67907
11717 ENSG00000166033.11 chr10 122461525 122514908 53384 + 53384
7605 ENSG00000138161.13 chr10 122832149 122850793 18645 - 18645
22105 ENSG00000213185.6 chr10 122849078 122879641 30564 - 30564
4980 ENSG00000119965.12 chr10 122930903 122954380 23478 - 23478
14750 ENSG00000179988.13 chr10 122954404 122997513 43110 + 43110
2031 ENSG00000095574.11 chr10 122990806 123008817 18012 - 18012
16983 ENSG00000196177.12 chr10 123008979 123058311 49333 + 49333
9746 ENSG00000154473.17 chr10 123154277 123170467 16191 + 16191
5200 ENSG00000121898.12 chr10 123706207 123940267 234061 - 234061
22237 ENSG00000213438.2 chr10 123991910 123992669 760 + 760
30584 ENSG00000232334.1 chr10 124004304 124004828 525 - 525
15120 ENSG00000182022.17 chr10 124007666 124093607 85942 - 85942
914 ENSG00000065154.11 chr10 124397303 124418976 21674 - 21674
3462 ENSG00000107902.13 chr10 124461834 124617888 156055 + 156055
16907 ENSG00000189319.13 chr10 124619292 124744269 124978 - 124978
53961 ENSG00000278831.1 chr10 124623605 124624079 475 + 475
19593 ENSG00000203791.14 chr10 124748149 124791870 43722 - 43722
11624 ENSG00000165660.7 chr10 124801785 124836670 34886 + 34886
396 ENSG00000019995.6 chr10 124942123 124983688 41566 + 41566
13776 ENSG00000175029.16 chr10 124984317 125161170 176854 - 176854
51577 ENSG00000273599.1 chr10 124996064 125001491 5428 + 5428
3465 ENSG00000107938.17 chr10 125719567 125764143 44577 + 44577
33769 ENSG00000236991.6 chr10 125725634 125752110 26477 - 26477
16746 ENSG00000188690.12 chr10 125784980 125823248 38269 - 38269
3466 ENSG00000107949.16 chr10 125823546 125853695 30150 + 30150
1855 ENSG00000089876.11 chr10 125836554 125896436 59883 - 59883
19586 ENSG00000203780.10 chr10 125896539 126009592 113054 + 113054
9125 ENSG00000148848.14 chr10 126012381 126388455 376075 - 376075
9309 ENSG00000150760.12 chr10 126905409 127452517 547109 + 547109
6556 ENSG00000132334.16 chr10 127907061 128085855 178795 + 178795
27044 ENSG00000227076.1 chr10 127934698 127936167 1470 + 1470
9111 ENSG00000148773.13 chr10 128096659 128126385 29727 - 29727
55292 ENSG00000280953.2 chr10 128181032 128317726 136695 + 136695
12795 ENSG00000170430.9 chr10 129467184 129768007 300824 + 300824
34118 ENSG00000237489.3 chr10 130063900 130110817 46918 - 46918
31139 ENSG00000233122.2 chr10 130106046 130108481 2436 + 2436
3475 ENSG00000108010.11 chr10 130136399 130184521 48123 + 48123
13862 ENSG00000175470.18 chr10 131900644 131959834 59191 + 59191
13995 ENSG00000176171.11 chr10 131966455 131982013 15559 - 15559
53559 ENSG00000277959.1 chr10 131971202 131971533 332 + 332
16669 ENSG00000188385.11 chr10 132104671 132184809 80139 + 80139
9410 ENSG00000151640.12 chr10 132186900 132205776 18877 + 18877
11649 ENSG00000165752.16 chr10 132207492 132331847 124356 - 124356
9115 ENSG00000148814.17 chr10 132332154 132379918 47765 + 47765
13124 ENSG00000171813.13 chr10 132397168 132417863 20696 + 20696
1039 ENSG00000068383.18 chr10 132537820 132783178 245359 + 245359
13122 ENSG00000171811.13 chr10 132808392 132942823 134432 - 134432
13119 ENSG00000171798.17 chr10 133160447 133226412 65966 + 65966
9411 ENSG00000151650.7 chr10 133237404 133241929 4526 + 4526
9412 ENSG00000151651.15 chr10 133262403 133276868 14466 - 14466
6290 ENSG00000130640.13 chr10 133278630 133311715 33086 - 33086
32594 ENSG00000235245.1 chr10 133295187 133295977 791 - 791
17740 ENSG00000198546.14 chr10 133308475 133313162 4688 + 4688
6291 ENSG00000130643.8 chr10 133324072 133336935 12864 - 12864
11669 ENSG00000165828.14 chr10 133347146 133352683 5538 + 5538
9114 ENSG00000148803.11 chr10 133355154 133358035 2882 - 2882
5947 ENSG00000127884.4 chr10 133362480 133373689 11210 - 11210
9118 ENSG00000148832.15 chr10 133379234 133391694 12461 + 12461
9116 ENSG00000148824.18 chr10 133394094 133420665 26572 + 26572
19584 ENSG00000203772.7 chr10 133420671 133424572 3902 - 3902
22636 ENSG00000214279.13 chr10 133453946 133469183 15238 + 15238
6292 ENSG00000130649.9 chr10 133520406 133539122 18717 + 18717
29513 ENSG00000230724.9 chr11 127204 139612 12409 - 12409
14367 ENSG00000177951.17 chr11 167784 207428 39645 - 39645
14369 ENSG00000177963.14 chr11 207511 215113 7603 + 7603
8176 ENSG00000142082.14 chr11 215458 236431 20974 - 20974
15995 ENSG00000185627.17 chr11 236546 252984 16439 + 16439
53247 ENSG00000277290.1 chr11 243099 243483 385 - 385
13742 ENSG00000174885.12 chr11 278365 285359 6995 + 6995
42223 ENSG00000255026.1 chr11 287305 288987 1683 + 1683
8178 ENSG00000142102.15 chr11 289138 296107 6970 + 6970
20275 ENSG00000206013.2 chr11 298200 299526 1327 - 1327
15893 ENSG00000185201.16 chr11 307631 309395 1765 + 1765
42132 ENSG00000254910.1 chr11 310139 311141 1003 - 1003
16066 ENSG00000185885.15 chr11 313506 314456 951 + 951
39667 ENSG00000251661.3 chr11 318640 325631 6992 + 6992
8177 ENSG00000142089.15 chr11 319669 321340 1672 - 1672
49661 ENSG00000270105.1 chr11 322224 322727 504 - 504
49624 ENSG00000270030.1 chr11 325703 326294 592 - 592
42479 ENSG00000255328.1 chr11 327171 330122 2952 + 2952
50163 ENSG00000270972.1 chr11 333192 333688 497 + 497
15182 ENSG00000182272.11 chr11 369804 382116 12313 + 12313
15690 ENSG00000184363.9 chr11 392614 404908 12295 + 12295
15890 ENSG00000185187.12 chr11 405716 417397 11682 - 11682
15869 ENSG00000185101.12 chr11 418263 442011 23749 - 23749
13750 ENSG00000174915.11 chr11 448268 491387 43120 + 43120
424 ENSG00000023191.16 chr11 494512 507300 12789 - 12789
13722 ENSG00000174775.16 chr11 532242 537287 5046 - 5046
10574 ENSG00000161328.10 chr11 537527 554863 17337 + 17337
15974 ENSG00000185522.8 chr11 554917 560779 5863 - 5863
42052 ENSG00000254815.5 chr11 557641 560107 2467 + 2467
2122 ENSG00000099849.14 chr11 560404 564021 3618 + 3618
37313 ENSG00000247095.2 chr11 565660 568457 2798 - 2798
1095 ENSG00000070047.11 chr11 576486 612222 35737 + 35737
15969 ENSG00000185507.19 chr11 612553 615999 3447 - 3447
2120 ENSG00000099834.18 chr11 616565 626078 9514 - 9514
1079 ENSG00000069696.6 chr11 637293 640706 3414 + 3414
14177 ENSG00000177030.16 chr11 644233 706594 62362 - 62362
14192 ENSG00000177106.14 chr11 694438 727727 33290 + 33290
14179 ENSG00000177042.14 chr11 695533 705028 9496 + 9496
14203 ENSG00000177156.10 chr11 747329 765024 17696 + 17696
14218 ENSG00000177225.16 chr11 767220 777488 10269 - 10269
42441 ENSG00000255284.1 chr11 777578 784297 6720 + 6720
54617 ENSG00000279672.1 chr11 779617 780755 1139 + 1139
42317 ENSG00000255142.1 chr11 781645 782105 461 + 461
14284 ENSG00000177542.10 chr11 790475 796367 5893 - 5893
52182 ENSG00000274897.2 chr11 797511 799178 1668 + 1668
14296 ENSG00000177595.17 chr11 799191 809646 10456 - 10456
14299 ENSG00000177600.8 chr11 809754 812880 3127 + 3127
18254 ENSG00000199785.1 chr11 811681 811814 134 + 134
14309 ENSG00000177666.16 chr11 818902 825573 6672 + 6672
42286 ENSG00000255108.1 chr11 823634 832842 9209 - 9209
14317 ENSG00000177685.16 chr11 826144 831991 5848 + 5848
14323 ENSG00000177697.17 chr11 832884 839720 6837 + 6837
14325 ENSG00000177700.5 chr11 837356 842545 5190 - 5190
22551 ENSG00000214063.10 chr11 842808 867116 24309 + 24309
38824 ENSG00000250397.2 chr11 856880 859795 2916 - 2916
14347 ENSG00000177830.17 chr11 867860 915058 47199 - 47199
15355 ENSG00000183020.13 chr11 924894 1012245 87352 + 87352
15823 ENSG00000184956.15 chr11 1012821 1036706 23886 - 23886
4758 ENSG00000117983.17 chr11 1223066 1262172 39107 + 39107
1443 ENSG00000078902.15 chr11 1274371 1309654 35284 - 35284
42327 ENSG00000255153.1 chr11 1309769 1310707 939 + 939
13705 ENSG00000174672.15 chr11 1389899 1462689 72791 + 72791
15166 ENSG00000182208.13 chr11 1469962 1501247 31286 - 31286
15733 ENSG00000184545.10 chr11 1554044 1571920 17877 - 17877
20244 ENSG00000205869.2 chr11 1584342 1585283 942 - 942
36940 ENSG00000244242.1 chr11 1732410 1750591 18182 - 18182
4759 ENSG00000117984.13 chr11 1752752 1764573 11822 - 11822
32433 ENSG00000235027.1 chr11 1760348 1762486 2139 + 2139
28657 ENSG00000229512.1 chr11 1763009 1763749 741 - 741
6285 ENSG00000130598.15 chr11 1838989 1841680 2692 + 2692
6283 ENSG00000130592.15 chr11 1852970 1892267 39298 + 39298
55997 ENSG00000283787.1 chr11 1888577 1891772 3196 - 3196
6284 ENSG00000130595.17 chr11 1919562 1938706 19145 + 19145
22535 ENSG00000214026.10 chr11 1947278 1972793 25516 + 25516
6286 ENSG00000130600.17 chr11 1995163 2001470 6308 - 6308
12028 ENSG00000167244.18 chr11 2129112 2141238 12127 - 12127
15538 ENSG00000183734.4 chr11 2268495 2270952 2458 - 2458
3786 ENSG00000110665.11 chr11 2295645 2303049 7405 - 7405
874 ENSG00000064201.15 chr11 2302061 2318200 16140 + 16140
3784 ENSG00000110651.11 chr11 2376177 2397419 21243 + 21243
15669 ENSG00000184281.14 chr11 2400488 2403878 3391 + 3391
717 ENSG00000053918.15 chr11 2444684 2849109 404426 + 404426
49516 ENSG00000269821.1 chr11 2608328 2699994 91667 - 91667
6165 ENSG00000129757.12 chr11 2883213 2885881 2669 - 2669
42064 ENSG00000254827.5 chr11 2887780 2903740 15961 - 15961
3783 ENSG00000110628.13 chr11 2899791 2925246 25456 + 25456
15048 ENSG00000181649.5 chr11 2928273 2929455 1183 - 1183
20149 ENSG00000205531.12 chr11 2944431 2992377 47947 - 47947
3782 ENSG00000110619.17 chr11 3000922 3057613 56692 - 56692
37340 ENSG00000247473.2 chr11 3029444 3041260 11817 + 11817
411 ENSG00000021762.19 chr11 3087116 3165770 78655 - 78655
106 ENSG00000005801.16 chr11 3339261 3379222 39962 - 39962
15123 ENSG00000182048.11 chr11 3609901 3637559 27659 + 27659
6164 ENSG00000129749.3 chr11 3665587 3669941 4355 - 4355
3794 ENSG00000110713.15 chr11 3671083 3797792 126710 - 126710
9135 ENSG00000148985.19 chr11 3797819 3826371 28553 + 28553
14191 ENSG00000177105.9 chr11 3826978 3840983 14006 - 14006
12043 ENSG00000167323.11 chr11 3854659 4093210 238552 + 238552
29420 ENSG00000230593.3 chr11 3892398 3892887 490 - 490
12044 ENSG00000167325.14 chr11 4094707 4138876 44170 + 44170
13929 ENSG00000175800.5 chr11 4378282 4379209 928 + 928
6525 ENSG00000132109.9 chr11 4384897 4393696 8800 - 8800
25672 ENSG00000225101.4 chr11 4474813 4475755 943 + 943
12046 ENSG00000167333.12 chr11 4598672 4608259 9588 - 9588
37144 ENSG00000244734.3 chr11 5225464 5229395 3932 - 3932
24655 ENSG00000223609.7 chr11 5232678 5235370 2693 - 2693
22486 ENSG00000213934.6 chr11 5248083 5249892 1810 - 1810
17124 ENSG00000196565.13 chr11 5253190 5645789 392600 - 392600
22485 ENSG00000213931.5 chr11 5268345 5281951 13607 - 13607
13872 ENSG00000175518.6 chr11 5514393 5516705 2313 - 2313
5135 ENSG00000121236.20 chr11 5596109 5612958 16850 + 16850
44123 ENSG00000258659.6 chr11 5619764 5644398 24635 + 24635
6541 ENSG00000132256.18 chr11 5663557 5938619 275063 - 275063
6543 ENSG00000132274.15 chr11 5689689 5736516 46828 + 46828
14961 ENSG00000181074.3 chr11 5754693 5755729 1037 + 1037
49009 ENSG00000267940.1 chr11 6201901 6203253 1353 - 1353
14914 ENSG00000180878.2 chr11 6205566 6211132 5567 + 5567
687 ENSG00000051009.10 chr11 6211335 6234711 23377 - 23377
6542 ENSG00000132259.12 chr11 6234765 6244429 9665 + 9665
12922 ENSG00000170955.9 chr11 6318946 6320647 1702 - 1702
11789 ENSG00000166311.9 chr11 6390431 6394998 4568 + 4568
11790 ENSG00000166313.18 chr11 6395124 6419414 24291 - 24291
3744 ENSG00000110169.10 chr11 6431049 6442617 11569 - 11569
3745 ENSG00000110171.19 chr11 6448614 6474459 25846 - 25846
6540 ENSG00000132254.12 chr11 6474683 6481446 6764 - 6764
6545 ENSG00000132286.11 chr11 6481480 6484679 3200 + 3200
41871 ENSG00000254595.1 chr11 6488186 6489377 1192 - 1192
14666 ENSG00000179532.12 chr11 6497296 6572022 74727 + 74727
6544 ENSG00000132275.10 chr11 6595075 6603620 8546 - 8546
11796 ENSG00000166333.13 chr11 6603708 6610841 7134 + 7134
41911 ENSG00000254641.1 chr11 6608667 6610135 1469 - 1469
11797 ENSG00000166337.9 chr11 6610875 6612667 1793 - 1793
11798 ENSG00000166340.15 chr11 6612763 6619366 6604 - 6604
11799 ENSG00000166341.7 chr11 6621323 6655854 34532 - 34532
10146 ENSG00000158042.8 chr11 6680782 6683401 2620 - 2620
42073 ENSG00000254838.5 chr11 6713536 6746439 32904 - 32904
39454 ENSG00000251364.6 chr11 7427266 7512515 85250 - 85250
11811 ENSG00000166387.11 chr11 7513298 7657127 143830 + 143830
11813 ENSG00000166394.14 chr11 7665100 7677222 12123 - 12123
13851 ENSG00000175390.13 chr11 7970251 8001862 31612 + 31612
11817 ENSG00000166402.8 chr11 8019244 8106092 86849 + 86849
11818 ENSG00000166405.14 chr11 8106113 8169055 62943 - 62943
11827 ENSG00000166436.15 chr11 8612037 8671866 59830 - 59830
11829 ENSG00000166441.12 chr11 8682411 8714759 32349 + 32349
11830 ENSG00000166444.18 chr11 8693351 8910951 217601 - 217601
11835 ENSG00000166452.11 chr11 8911139 8920075 8937 + 8937
13845 ENSG00000175348.10 chr11 8947294 8964674 17381 - 17381
42093 ENSG00000254860.5 chr11 8964774 8977527 12754 + 12754
13846 ENSG00000175352.10 chr11 8980576 9004049 23474 - 23474
15607 ENSG00000184014.7 chr11 9138825 9265390 126566 - 126566
11838 ENSG00000166471.10 chr11 9280654 9314780 34127 - 34127
20107 ENSG00000205339.9 chr11 9384622 9448126 63505 + 63505
49130 ENSG00000268403.2 chr11 9459556 9460521 966 - 966
11841 ENSG00000166478.9 chr11 9460703 9528524 67822 + 67822
11844 ENSG00000166483.10 chr11 9573681 9593457 19777 + 19777
36814 ENSG00000243964.1 chr11 9606142 9606609 468 + 468
6778 ENSG00000133789.14 chr11 9664077 9752991 88915 + 88915
37257 ENSG00000246273.6 chr11 9758292 9811319 53028 + 53028
6783 ENSG00000133812.15 chr11 9778667 10294207 515541 - 515541
41833 ENSG00000254554.1 chr11 10302657 10303704 1048 - 1048
9128 ENSG00000148926.9 chr11 10304680 10307397 2718 + 2718
6781 ENSG00000133805.15 chr11 10308313 10507579 199267 + 199267
42775 ENSG00000255823.4 chr11 10507887 10509189 1303 - 1303
3756 ENSG00000110315.6 chr11 10511678 10541230 29553 - 29553
14194 ENSG00000177112.7 chr11 10541272 10599932 58661 + 58661
6780 ENSG00000133800.8 chr11 10556966 10611689 54724 - 54724
1211 ENSG00000072952.18 chr11 10573091 10693988 120898 - 120898
17809 ENSG00000198730.7 chr11 10750987 10779743 28757 + 28757
3758 ENSG00000110321.16 chr11 10797050 10809110 12061 - 12061
37258 ENSG00000246308.1 chr11 10809297 10822931 13635 + 13635
33275 ENSG00000236287.7 chr11 10812074 10858258 46185 - 46185
37326 ENSG00000247271.6 chr11 10858797 10906802 48006 + 48006
12744 ENSG00000170242.17 chr11 11841423 11959323 117901 + 117901
674 ENSG00000050165.17 chr11 11963106 12009769 46664 - 46664
6784 ENSG00000133816.13 chr11 12094008 12263789 169782 + 169782
6782 ENSG00000133808.4 chr11 12276080 12359144 83065 + 83065
17475 ENSG00000197702.11 chr11 12377185 12530801 153617 + 153617
16368 ENSG00000187079.16 chr11 12674591 12944483 269893 + 269893
6779 ENSG00000133794.17 chr11 13276652 13387266 110615 + 110615
9127 ENSG00000148925.10 chr11 13388001 13463297 75297 - 75297
17448 ENSG00000197601.12 chr11 13668670 13732346 63677 + 63677
46629 ENSG00000262655.3 chr11 13962689 14267884 305196 + 305196
6785 ENSG00000133818.13 chr11 14277926 14364506 86581 - 86581
6090 ENSG00000129083.12 chr11 14443440 14500027 56588 - 56588
6091 ENSG00000129084.17 chr11 14504874 14643635 138762 - 138762
9495 ENSG00000152270.8 chr11 14643723 14872044 228322 + 228322
16130 ENSG00000186104.10 chr11 14877440 14892252 14813 - 14813
